iter	Passed	Remaining
774	5301	1539
775	5308	1532
776	5314	1525
777	5321	1518
778	5328	1511
779	5334	1504
780	5341	1497
781	5348	1490
782	5354	1483
783	5360	1476
784	5366	1469
785	5372	1462
786	5378	1455
787	5384	1448
788	5389	1441
789	5396	1434
790	5402	1427
791	5409	1420
792	5418	1414
793	5425	1407
794	5431	1400
795	5438	1393
796	5444	1386
797	5451	1379
798	5458	1373
799	5465	1366
800	5471	1359
801	5480	1352
802	5487	1346
803	5493	1339
804	5499	1332
805	5522	1329
806	5528	1322
807	5533	1314
808	5539	1307
809	5544	1300
810	5550	1293
811	5555	1286
812	5561	1279
813	5567	1272
814	5573	1265
815	5579	1258
816	5585	1251
817	5591	1244
818	5597	1237
819	5604	1230
820	5610	1223
821	5617	1216
822	5624	1209
823	5631	1202
824	5639	1196
825	5645	1189
826	5652	1182
827	5659	1175
828	5682	1172
829	5689	1165
830	5696	1158
831	5704	1151
832	5710	1144
833	5717	1138
834	5724	1131
835	5731	1124
836	5738	1117
837	5744	1110
838	5750	1103
839	5756	1096
840	5764	1089
841	5770	1082
842	5777	1076
843	5784	1069
844	5790	1062
845	5797	1055
846	5803	1048
847	5810	1041
848	5816	1034
849	5823	1027
850	5829	1020
851	5836	1013
852	5843	1007
853	5850	1000
854	5857	993
855	5864	986
856	5871	979
857	5878	972
858	5884	965
859	5891	959
860	5897	952
861	5903	945
862	5909	938
863	5915	931
864	5923	924
865	5928	917
866	5934	910
867	5940	903
868	5946	896
869	5952	889
870	5958	882
871	5964	875
872	5970	868
873	5976	861
874	5983	854
875	5989	847
876	5995	840
877	6003	834
878	6009	827
879	6015	820
880	6023	813
881	6029	806
882	6036	799
883	6042	792
884	6049	786
885	6056	779
886	6063	772
887	6070	765
888	6076	758
889	6083	751
890	6089	744
891	6095	738
892	6101	731
893	6107	724
894	6113	717
895	6119	710
896	6125	703
897	6131	696
898	6137	689
899	6144	682
900	6150	675
901	6156	668
902	6163	662
903	6169	655
904	6176	648
905	6183	641
906	6190	634
907	6197	627
908	6204	621
909	6210	614
910	6217	607
911	6224	600
912	6231	593
913	6237	586
914	6246	580
915	6254	573
916	6261	566
917	6267	559
918	6274	553
919	6280	546
920	6287	539
921	6293	532
922	6299	525
923	6305	518
924	6311	511
925	6317	504
926	6324	498
927	6330	491
928	6337	484
929	6343	477
930	6349	470
931	6356	463
932	6362	456
933	6369	450
934	6375	443
935	6382	436
936	6389	429
937	6396	422
938	6403	415
939	6409	409
940	6417	402
941	6424	395
942	6432	388
943	6439	382
944	6446	375
945	6453	368
946	6462	361
947	6469	354
948	6489	348
949	6499	342
950	6506	335
951	6534	329
952	6548	322
953	6578	317
954	6589	310
955	6598	303
956	6606	296
957	6618	290
958	6627	283
959	6634	276
960	6642	269
961	6649	262
962	6659	255
963	6665	248
964	6672	242
965	6678	235
966	6685	228
967	6692	221
968	6699	214
969	6706	207
970	6712	200
971	6718	193
972	6725	186
973	6731	179
974	6738	172
975	6743	165
976	6750	158
977	6756	151
978	6762	145
979	6769	138
980	6775	131
981	6780	124
982	6786	117
983	6792	110
984	6798	103
985	6804	96
986	6810	89
987	6817	82
988	6823	75
989	6830	68
990	6837	62
991	6843	55
992	6851	48
993	6857	41
994	6864	34
995	6871	27
996	6878	20
997	6884	13
998	6890	6
999	6896	0
